content,CustomerService,FiturAplikasi,UserExperience,Verifikasi,Preprocess,review_tokenized
"Biaya dan fitur standard kaya apk lain, promo nya dikit..",0,0,-1,0,biaya  fitur standar kaya aplikasi  promo  dikit ,"['biaya', 'fitur', 'standar', 'kaya', 'aplikasi', 'promo', 'dikit']"
aplikasi yg mudah untuk diakses dimana aja dan kapan aja. jadi bisa belanja dan transfer kemana aja dengan cepat dan praktis,0,1,1,0,aplikasi  mudah  akses mana aja   aja   belanja  transfer mana aja  cepat  praktis,"['aplikasi', 'mudah', 'akses', 'mana', 'aja', 'aja', 'belanja', 'transfer', 'mana', 'aja', 'cepat', 'praktis']"
"suruh ganti pin tapi tulisan gagal memuat, uda pakai wifi,hostpot tetap gak bisa. chat servis di biar kan aja, makannya peminat sikit download orang gak jelas apknya",-1,-1,-1,0,suruh ganti pin  tulis gagal muat udah pakai internet hostpot  gak  obrol servis  biar  aja  minat  unduh orang gak  aplikasi,"['suruh', 'ganti', 'pin', 'tulis', 'gagal', 'muat', 'udah', 'pakai', 'internet', 'hostpot', 'gak', 'obrol', 'servis', 'biar', 'aja', 'minat', 'unduh', 'orang', 'gak', 'aplikasi']"
"Dari semua aplikasi, ini yang paling lama cek verifikasi ktp. Padahal udah sangat butuh. Tolong di percepat verifnyað",0,0,-1,-1,  aplikasi    lama cek verifikasi ktp  udah  butuh tolong  cepat verifnya ,"['aplikasi', 'lama', 'cek', 'verifikasi', 'ktp', 'udah', 'butuh', 'tolong', 'cepat', 'verifnya']"
"Aplikasi payah bukannya membantu malah bikin susah saldo kepotong tp belum terbayarkan ke nomer tujuan,,hubungi cs malah ngabisin pulsa,live chat gak ada respon email juga sama,,, gak tanggung jawab",-1,-1,-1,0,aplikasi payah  bantu  bikin susah saldo potong   bayar  nomor tuju hubung layan langgan  habisin pulsa langsung obrol gak  respon email   gak tanggung ,"['aplikasi', 'payah', 'bantu', 'bikin', 'susah', 'saldo', 'potong', 'bayar', 'nomor', 'tuju', 'hubung', 'layan', 'langgan', 'habisin', 'pulsa', 'langsung', 'obrol', 'gak', 'respon', 'email', 'gak', 'tanggung']"
"Busuk, akun nggak bisa masuk, dihubungi susah, nggak ada kejelasan sama sekali dari linkaja, pokoknya habis akun udah bisa dibuka mending migrasi ke app lain, kapok pake link aja",-1,-1,-1,0,busuk akun   masuk hubung susah   jelas    linkaja pokok habis akun udah  buka mending migrasi  aplikasi  kapok pakai linkaja aja,"['busuk', 'akun', 'masuk', 'hubung', 'susah', 'jelas', 'linkaja', 'pokok', 'habis', 'akun', 'udah', 'buka', 'mending', 'migrasi', 'aplikasi', 'kapok', 'pakai', 'linkaja', 'aja']"
"Aplikasi tidak berguna,, Tidak bisa di complain.. Uang nyangkut lebih dari 300k,, Transaksi pulsa saldo terpotong, status pending sampai sekarang, Live chatnya di balas BOT,, Payah,, saran aja jangan Download aplikasi ini.",-1,-1,-1,0,aplikasi tidak guna tidak   complain uang nyangkut    transaksi pulsa saldo potong status tunda   langsung obrol  balas bot payah saran aja jangan unduh aplikasi  ,"['aplikasi', 'tidak', 'guna', 'tidak', 'complain', 'uang', 'nyangkut', 'transaksi', 'pulsa', 'saldo', 'potong', 'status', 'tunda', 'langsung', 'obrol', 'balas', 'bot', 'payah', 'saran', 'aja', 'jangan', 'unduh', 'aplikasi']"
Uang yg udah masuk aplikasi ini ga bisa di ambil lagi. Harus verifikasi dulu dan di setujui nya lama banget kecewa.,0,-1,-1,-1,uang  udah masuk aplikasi  ga   ambil   verifikasi    tuju  lama  kecewa ,"['uang', 'udah', 'masuk', 'aplikasi', 'ga', 'ambil', 'verifikasi', 'tuju', 'lama', 'kecewa']"
Apakah link aja ada gangguan sudah saya send email no respon saldo sudah berkurang tapi status masih proses sudah hampir 1 jam...,-1,0,-1,0, linkaja aja  ganggu   send email nomor respon saldo  kurang  status  proses   jam ,"['linkaja', 'aja', 'ganggu', 'send', 'email', 'nomor', 'respon', 'saldo', 'kurang', 'status', 'proses', 'jam']"
"aplikasinya sangat membantu saya dalam pembelian ataupun pembayaran, top up bisa dilakukan dimana saja",0,1,1,0,aplikasi  bantu   beli  bayar mantap    mana ,"['aplikasi', 'bantu', 'beli', 'bayar', 'mantap', 'mana']"
